S_INFO_WINDCODE,S_VAL_MV
300584.SZ,308880.0000
002968.SZ,308842.1301
002671.SZ,308782.8569
600785.SH,308663.5910
301097.SZ,308648.4188
688456.SH,308595.8200
300534.SZ,308501.8650
300164.SZ,308454.3043
600262.SH,308380.0000
002451.SZ,308318.4000
301121.SZ,308064.6536
688060.SH,307995.9552
600191.SH,307931.8200
000545.SZ,307891.9260
301000.SZ,307584.9612
002496.SZ,307548.2941
603976.SH,307544.9473
601007.SH,307320.0000
002529.SZ,307060.0000
300963.SZ,307008.0000
300112.SZ,306864.0515
001206.SZ,306738.8275
688078.SH,306640.5440
300713.SZ,306486.7057
300898.SZ,306404.0000
688113.SH,306173.2406
600980.SH,305849.8580
300264.SZ,305477.9803
301331.SZ,305382.4151
000678.SZ,305182.2332
603121.SH,305018.8772
300530.SZ,304869.7506
300139.SZ,304688.0000
603066.SH,304612.0377
300731.SZ,304321.3522
001317.SZ,304152.0000
600249.SH,304150.0000
300637.SZ,304001.4184
300600.SZ,303944.2178
000663.SZ,303688.9040
600838.SH,303467.6596
002702.SZ,303444.9600
000593.SZ,303401.8336
301222.SZ,303290.8662
300350.SZ,303162.6408
600560.SH,303039.6525
002931.SZ,302968.2881
603917.SH,302780.8000
000533.SZ,302577.4080
301041.SZ,302544.4800
300018.SZ,301962.2046
600397.SH,301937.7640
603607.SH,301871.9088
603579.SH,301852.3338
688058.SH,301784.0000
002164.SZ,301742.4817
600540.SH,301734.6422
000419.SZ,301688.3735
300781.SZ,301537.1697
300247.SZ,301515.1174
001316.SZ,301475.0710
603856.SH,301344.4038
603385.SH,301178.1041
000017.SZ,301173.8157
603006.SH,301037.0320
600513.SH,300641.5207
301176.SZ,300600.5339
688386.SH,300510.0000
605028.SH,300480.0000
000759.SZ,300330.4815
300868.SZ,300160.0000
002679.SZ,299881.6320
300235.SZ,299830.2423
688316.SH,299618.1385
300826.SZ,299425.5107
603615.SH,299373.1600
002879.SZ,299316.8420
301012.SZ,299229.3990
688080.SH,299190.1869
000705.SZ,299040.3410
688286.SH,298886.1198
300245.SZ,298724.9908
603016.SH,298542.4000
301007.SZ,298399.6400
300668.SZ,298304.7945
300591.SZ,298170.2261
002172.SZ,297869.8880
600470.SH,297833.6000
300218.SZ,297706.1640
301335.SZ,297486.0000
300246.SZ,297380.6972
002394.SZ,297156.6000
000803.SZ,296928.3918
300056.SZ,296827.6411
001333.SZ,296704.0000
301072.SZ,296674.7552
603216.SH,296602.4800
300958.SZ,296545.6075
600774.SH,296507.5640
300004.SZ,296156.0500
301248.SZ,296035.8300
002909.SZ,295965.4469
603199.SH,295958.3200
300214.SZ,295952.8573
688577.SH,295868.5804
