,symbol,date,time,prev_close,open,high,low,last_prc
4242,000555.SZ,20231117.0,143203000,12.77,12.72,12.79,12.56,12.64
4243,000555.SZ,20231117.0,143206000,12.77,12.72,12.79,12.56,12.64
4244,000555.SZ,20231117.0,143209000,12.77,12.72,12.79,12.56,12.64
4245,000555.SZ,20231117.0,143212000,12.77,12.72,12.79,12.56,12.64
4246,000555.SZ,20231117.0,143215000,12.77,12.72,12.79,12.56,12.64
4247,000555.SZ,20231117.0,143218000,12.77,12.72,12.79,12.56,12.64
4248,000555.SZ,20231117.0,143221000,12.77,12.72,12.79,12.56,12.64
4249,000555.SZ,20231117.0,143224000,12.77,12.72,12.79,12.56,12.64
4250,000555.SZ,20231117.0,143227000,12.77,12.72,12.79,12.56,12.65
4251,000555.SZ,20231117.0,143230000,12.77,12.72,12.79,12.56,12.64
4252,000555.SZ,20231117.0,143233000,12.77,12.72,12.79,12.56,12.64
4253,000555.SZ,20231117.0,143236000,12.77,12.72,12.79,12.56,12.64
4254,000555.SZ,20231117.0,143239000,12.77,12.72,12.79,12.56,12.64
4255,000555.SZ,20231117.0,143242000,12.77,12.72,12.79,12.56,12.64
4256,000555.SZ,20231117.0,143245000,12.77,12.72,12.79,12.56,12.64
4257,000555.SZ,20231117.0,143248000,12.77,12.72,12.79,12.56,12.64
4258,000555.SZ,20231117.0,143251000,12.77,12.72,12.79,12.56,12.64
4259,000555.SZ,20231117.0,143254000,12.77,12.72,12.79,12.56,12.65
4260,000555.SZ,20231117.0,143257000,12.77,12.72,12.79,12.56,12.65
4261,000555.SZ,20231117.0,143300000,12.77,12.72,12.79,12.56,12.65
4262,000555.SZ,20231117.0,143303000,12.77,12.72,12.79,12.56,12.65
4263,000555.SZ,20231117.0,143306000,12.77,12.72,12.79,12.56,12.65
4264,000555.SZ,20231117.0,143309000,12.77,12.72,12.79,12.56,12.65
4265,000555.SZ,20231117.0,143312000,12.77,12.72,12.79,12.56,12.65
4266,000555.SZ,20231117.0,143315000,12.77,12.72,12.79,12.56,12.65
4267,000555.SZ,20231117.0,143318000,12.77,12.72,12.79,12.56,12.64
4268,000555.SZ,20231117.0,143321000,12.77,12.72,12.79,12.56,12.65
4269,000555.SZ,20231117.0,143324000,12.77,12.72,12.79,12.56,12.65
4270,000555.SZ,20231117.0,143327000,12.77,12.72,12.79,12.56,12.65
4271,000555.SZ,20231117.0,143330000,12.77,12.72,12.79,12.56,12.65
4272,000555.SZ,20231117.0,143333000,12.77,12.72,12.79,12.56,12.65
4273,000555.SZ,20231117.0,143336000,12.77,12.72,12.79,12.56,12.65
4274,000555.SZ,20231117.0,143339000,12.77,12.72,12.79,12.56,12.65
4275,000555.SZ,20231117.0,143342000,12.77,12.72,12.79,12.56,12.65
4276,000555.SZ,20231117.0,143345000,12.77,12.72,12.79,12.56,12.65
4277,000555.SZ,20231117.0,143348000,12.77,12.72,12.79,12.56,12.64
4278,000555.SZ,20231117.0,143351000,12.77,12.72,12.79,12.56,12.64
4279,000555.SZ,20231117.0,143354000,12.77,12.72,12.79,12.56,12.64
4280,000555.SZ,20231117.0,143357000,12.77,12.72,12.79,12.56,12.64
4281,000555.SZ,20231117.0,143400000,12.77,12.72,12.79,12.56,12.64
4282,000555.SZ,20231117.0,143403000,12.77,12.72,12.79,12.56,12.64
4283,000555.SZ,20231117.0,143406000,12.77,12.72,12.79,12.56,12.65
4284,000555.SZ,20231117.0,143409000,12.77,12.72,12.79,12.56,12.65
4285,000555.SZ,20231117.0,143412000,12.77,12.72,12.79,12.56,12.65
4286,000555.SZ,20231117.0,143415000,12.77,12.72,12.79,12.56,12.65
4287,000555.SZ,20231117.0,143418000,12.77,12.72,12.79,12.56,12.65
4288,000555.SZ,20231117.0,143421000,12.77,12.72,12.79,12.56,12.65
4289,000555.SZ,20231117.0,143424000,12.77,12.72,12.79,12.56,12.65
4290,000555.SZ,20231117.0,143427000,12.77,12.72,12.79,12.56,12.65
4291,000555.SZ,20231117.0,143430000,12.77,12.72,12.79,12.56,12.65
4292,000555.SZ,20231117.0,143433000,12.77,12.72,12.79,12.56,12.65
4293,000555.SZ,20231117.0,143436000,12.77,12.72,12.79,12.56,12.65
4294,000555.SZ,20231117.0,143439000,12.77,12.72,12.79,12.56,12.65
4295,000555.SZ,20231117.0,143442000,12.77,12.72,12.79,12.56,12.65
4296,000555.SZ,20231117.0,143445000,12.77,12.72,12.79,12.56,12.65
4297,000555.SZ,20231117.0,143448000,12.77,12.72,12.79,12.56,12.64
4298,000555.SZ,20231117.0,143451000,12.77,12.72,12.79,12.56,12.64
4299,000555.SZ,20231117.0,143454000,12.77,12.72,12.79,12.56,12.64
4300,000555.SZ,20231117.0,143457000,12.77,12.72,12.79,12.56,12.64
4301,000555.SZ,20231117.0,143500000,12.77,12.72,12.79,12.56,12.64
4302,000555.SZ,20231117.0,143503000,12.77,12.72,12.79,12.56,12.64
4303,000555.SZ,20231117.0,143506000,12.77,12.72,12.79,12.56,12.64
4304,000555.SZ,20231117.0,143509000,12.77,12.72,12.79,12.56,12.64
4305,000555.SZ,20231117.0,143512000,12.77,12.72,12.79,12.56,12.64
4306,000555.SZ,20231117.0,143515000,12.77,12.72,12.79,12.56,12.63
4307,000555.SZ,20231117.0,143518000,12.77,12.72,12.79,12.56,12.64
4308,000555.SZ,20231117.0,143521000,12.77,12.72,12.79,12.56,12.63
4309,000555.SZ,20231117.0,143524000,12.77,12.72,12.79,12.56,12.63
4310,000555.SZ,20231117.0,143527000,12.77,12.72,12.79,12.56,12.63
4311,000555.SZ,20231117.0,143530000,12.77,12.72,12.79,12.56,12.64
4312,000555.SZ,20231117.0,143533000,12.77,12.72,12.79,12.56,12.64
4313,000555.SZ,20231117.0,143536000,12.77,12.72,12.79,12.56,12.63
4314,000555.SZ,20231117.0,143539000,12.77,12.72,12.79,12.56,12.63
4315,000555.SZ,20231117.0,143542000,12.77,12.72,12.79,12.56,12.64
4316,000555.SZ,20231117.0,143545000,12.77,12.72,12.79,12.56,12.64
4317,000555.SZ,20231117.0,143548000,12.77,12.72,12.79,12.56,12.64
