,symbol,date,time,recv_time,prev_close,open,last_prc,volume,high_limited,low_limited,ask_prc1,bid_prc1,ask_vol1,bid_vol1,fill,index_Resource,Time,t_volume,outlier,middle,acc_weight_price,stop
3655,000016.SH,20231201.0,121106000,121106216.0,2365.9962,2362.6263,2341.6126,1387682500.0,0.0,0.0,0.0,0.0,0.0,0.0,0,self,121106000.0,0,0,2341.6126,2349.2,0
3656,000016.SH,20231201.0,121109000,121109223.0,2365.9962,2362.6263,2341.6126,1387682500.0,0.0,0.0,0.0,0.0,0.0,0.0,0,self,121109000.0,0,0,2341.6126,2349.2,0
3657,000016.SH,20231201.0,121112000,121112214.0,2365.9962,2362.6263,2341.6126,1387682500.0,0.0,0.0,0.0,0.0,0.0,0.0,0,self,121112000.0,0,0,2341.6126,2349.2,0
3658,000016.SH,20231201.0,121115000,121115216.0,2365.9962,2362.6263,2341.6126,1387682500.0,0.0,0.0,0.0,0.0,0.0,0.0,0,self,121115000.0,0,0,2341.6126,2349.2,0
3659,000016.SH,20231201.0,121118000,121118219.0,2365.9962,2362.6263,2341.6126,1387682500.0,0.0,0.0,0.0,0.0,0.0,0.0,0,self,121118000.0,0,0,2341.6126,2349.2,0
3660,000016.SH,20231201.0,121121000,121121217.0,2365.9962,2362.6263,2341.6126,1387682500.0,0.0,0.0,0.0,0.0,0.0,0.0,0,self,121121000.0,0,0,2341.6126,2349.2,0
3661,000016.SH,20231201.0,121124000,121124219.0,2365.9962,2362.6263,2341.6126,1387682500.0,0.0,0.0,0.0,0.0,0.0,0.0,0,self,121124000.0,0,0,2341.6126,2349.2,0
3662,000016.SH,20231201.0,121127000,121127218.0,2365.9962,2362.6263,2341.6126,1387682500.0,0.0,0.0,0.0,0.0,0.0,0.0,0,self,121127000.0,0,0,2341.6126,2349.2,0
3663,000016.SH,20231201.0,121130000,121130224.0,2365.9962,2362.6263,2341.6126,1387682500.0,0.0,0.0,0.0,0.0,0.0,0.0,0,self,121130000.0,0,0,2341.6126,2349.2,0
3664,000016.SH,20231201.0,121133000,121133218.0,2365.9962,2362.6263,2341.6126,1387682500.0,0.0,0.0,0.0,0.0,0.0,0.0,0,self,121133000.0,0,0,2341.6126,2349.2,0
3665,000016.SH,20231201.0,121134000,121134205.0,2365.9962,2362.6263,2341.6126,1387682500.0,0.0,0.0,0.0,0.0,0.0,0.0,0,self,121134000.0,0,0,2341.6126,2349.2,0
3666,000016.SH,20231201.0,121136000,121136220.0,2365.9962,2362.6263,2341.6126,1387682500.0,0.0,0.0,0.0,0.0,0.0,0.0,0,self,121136000.0,0,0,2341.6126,2349.2,0
3667,000016.SH,20231201.0,121139000,121139224.0,2365.9962,2362.6263,2341.6126,1387682500.0,0.0,0.0,0.0,0.0,0.0,0.0,0,self,121139000.0,0,0,2341.6126,2349.2,0
3668,000016.SH,20231201.0,121142000,121142209.0,2365.9962,2362.6263,2341.6126,1387682500.0,0.0,0.0,0.0,0.0,0.0,0.0,0,self,121142000.0,0,0,2341.6126,2349.2,0
3669,000016.SH,20231201.0,121145000,121145215.0,2365.9962,2362.6263,2341.6126,1387682500.0,0.0,0.0,0.0,0.0,0.0,0.0,0,self,121145000.0,0,0,2341.6126,2349.2,0
3670,000016.SH,20231201.0,121148000,121148209.0,2365.9962,2362.6263,2341.6126,1387682500.0,0.0,0.0,0.0,0.0,0.0,0.0,0,self,121148000.0,0,0,2341.6126,2349.2,0
3671,000016.SH,20231201.0,121151000,121151209.0,2365.9962,2362.6263,2341.6126,1387682500.0,0.0,0.0,0.0,0.0,0.0,0.0,0,self,121151000.0,0,0,2341.6126,2349.2,0
3672,000016.SH,20231201.0,121154000,121154209.0,2365.9962,2362.6263,2341.6126,1387682500.0,0.0,0.0,0.0,0.0,0.0,0.0,0,self,121154000.0,0,0,2341.6126,2349.2,0
3673,000016.SH,20231201.0,121157000,121157209.0,2365.9962,2362.6263,2341.6126,1387682500.0,0.0,0.0,0.0,0.0,0.0,0.0,0,self,121157000.0,0,0,2341.6126,2349.2,0
3674,000016.SH,20231201.0,121200000,121200215.0,2365.9962,2362.6263,2341.6126,1387682500.0,0.0,0.0,0.0,0.0,0.0,0.0,0,self,121200000.0,0,0,2341.6126,2349.2,0
3675,000016.SH,20231201.0,121203000,121203216.0,2365.9962,2362.6263,2341.6126,1387682500.0,0.0,0.0,0.0,0.0,0.0,0.0,0,self,121203000.0,0,0,2341.6126,2349.2,0
3676,000016.SH,20231201.0,121204000,121204204.0,2365.9962,2362.6263,2341.6126,1387682500.0,0.0,0.0,0.0,0.0,0.0,0.0,0,self,121204000.0,0,0,2341.6126,2349.2,0
3677,000016.SH,20231201.0,121206000,121206213.0,2365.9962,2362.6263,2341.6126,1387682500.0,0.0,0.0,0.0,0.0,0.0,0.0,0,self,121206000.0,0,0,2341.6126,2349.2,0
3678,000016.SH,20231201.0,121209000,121209216.0,2365.9962,2362.6263,2341.6126,1387682500.0,0.0,0.0,0.0,0.0,0.0,0.0,0,self,121209000.0,0,0,2341.6126,2349.2,0
3679,000016.SH,20231201.0,121212000,121212209.0,2365.9962,2362.6263,2341.6126,1387682500.0,0.0,0.0,0.0,0.0,0.0,0.0,0,self,121212000.0,0,0,2341.6126,2349.2,0
3680,000016.SH,20231201.0,121215000,121215216.0,2365.9962,2362.6263,2341.6126,1387682500.0,0.0,0.0,0.0,0.0,0.0,0.0,0,self,121215000.0,0,0,2341.6126,2349.2,0
3681,000016.SH,20231201.0,121218000,121218209.0,2365.9962,2362.6263,2341.6126,1387682500.0,0.0,0.0,0.0,0.0,0.0,0.0,0,self,121218000.0,0,0,2341.6126,2349.2,0
3682,000016.SH,20231201.0,121221000,121221210.0,2365.9962,2362.6263,2341.6126,1387682500.0,0.0,0.0,0.0,0.0,0.0,0.0,0,self,121221000.0,0,0,2341.6126,2349.2,0
3683,000016.SH,20231201.0,121224000,121224209.0,2365.9962,2362.6263,2341.6126,1387682500.0,0.0,0.0,0.0,0.0,0.0,0.0,0,self,121224000.0,0,0,2341.6126,2349.2,0
3684,000016.SH,20231201.0,121227000,121227209.0,2365.9962,2362.6263,2341.6126,1387682500.0,0.0,0.0,0.0,0.0,0.0,0.0,0,self,121227000.0,0,0,2341.6126,2349.2,0
3685,000016.SH,20231201.0,121230000,121230210.0,2365.9962,2362.6263,2341.6126,1387682500.0,0.0,0.0,0.0,0.0,0.0,0.0,0,self,121230000.0,0,0,2341.6126,2349.2,0
3686,000016.SH,20231201.0,121233000,121233209.0,2365.9962,2362.6263,2341.6126,1387682500.0,0.0,0.0,0.0,0.0,0.0,0.0,0,self,121233000.0,0,0,2341.6126,2349.2,0
3687,000016.SH,20231201.0,121234000,121234206.0,2365.9962,2362.6263,2341.6126,1387682500.0,0.0,0.0,0.0,0.0,0.0,0.0,0,self,121234000.0,0,0,2341.6126,2349.2,0
3688,000016.SH,20231201.0,121236000,121236212.0,2365.9962,2362.6263,2341.6126,1387682500.0,0.0,0.0,0.0,0.0,0.0,0.0,0,self,121236000.0,0,0,2341.6126,2349.2,0
3689,000016.SH,20231201.0,121239000,121239217.0,2365.9962,2362.6263,2341.6126,1387682500.0,0.0,0.0,0.0,0.0,0.0,0.0,0,self,121239000.0,0,0,2341.6126,2349.2,0
3690,000016.SH,20231201.0,121242000,121242209.0,2365.9962,2362.6263,2341.6126,1387682500.0,0.0,0.0,0.0,0.0,0.0,0.0,0,self,121242000.0,0,0,2341.6126,2349.2,0
3691,000016.SH,20231201.0,121245000,121245218.0,2365.9962,2362.6263,2341.6126,1387682500.0,0.0,0.0,0.0,0.0,0.0,0.0,0,self,121245000.0,0,0,2341.6126,2349.2,0
3692,000016.SH,20231201.0,121248000,121248210.0,2365.9962,2362.6263,2341.6126,1387682500.0,0.0,0.0,0.0,0.0,0.0,0.0,0,self,121248000.0,0,0,2341.6126,2349.2,0
3693,000016.SH,20231201.0,121251000,121251210.0,2365.9962,2362.6263,2341.6126,1387682500.0,0.0,0.0,0.0,0.0,0.0,0.0,0,self,121251000.0,0,0,2341.6126,2349.2,0
3694,000016.SH,20231201.0,121254000,121254210.0,2365.9962,2362.6263,2341.6126,1387682500.0,0.0,0.0,0.0,0.0,0.0,0.0,0,self,121254000.0,0,0,2341.6126,2349.2,0
3695,000016.SH,20231201.0,121257000,121257211.0,2365.9962,2362.6263,2341.6126,1387682500.0,0.0,0.0,0.0,0.0,0.0,0.0,0,self,121257000.0,0,0,2341.6126,2349.2,0
3696,000016.SH,20231201.0,121300000,121300215.0,2365.9962,2362.6263,2341.6126,1387682500.0,0.0,0.0,0.0,0.0,0.0,0.0,0,self,121300000.0,0,0,2341.6126,2349.2,0
3697,000016.SH,20231201.0,121303000,121303219.0,2365.9962,2362.6263,2341.6126,1387682500.0,0.0,0.0,0.0,0.0,0.0,0.0,0,self,121303000.0,0,0,2341.6126,2349.2,0
3698,000016.SH,20231201.0,121304000,121304209.0,2365.9962,2362.6263,2341.6126,1387682500.0,0.0,0.0,0.0,0.0,0.0,0.0,0,self,121304000.0,0,0,2341.6126,2349.2,0
3699,000016.SH,20231201.0,121306000,121306214.0,2365.9962,2362.6263,2341.6126,1387682500.0,0.0,0.0,0.0,0.0,0.0,0.0,0,self,121306000.0,0,0,2341.6126,2349.2,0
3700,000016.SH,20231201.0,121309000,121309219.0,2365.9962,2362.6263,2341.6126,1387682500.0,0.0,0.0,0.0,0.0,0.0,0.0,0,self,121309000.0,0,0,2341.6126,2349.2,0
3701,000016.SH,20231201.0,121312000,121312211.0,2365.9962,2362.6263,2341.6126,1387682500.0,0.0,0.0,0.0,0.0,0.0,0.0,0,self,121312000.0,0,0,2341.6126,2349.2,0
3702,000016.SH,20231201.0,121315000,121315219.0,2365.9962,2362.6263,2341.6126,1387682500.0,0.0,0.0,0.0,0.0,0.0,0.0,0,self,121315000.0,0,0,2341.6126,2349.2,0
3703,000016.SH,20231201.0,121318000,121318211.0,2365.9962,2362.6263,2341.6126,1387682500.0,0.0,0.0,0.0,0.0,0.0,0.0,0,self,121318000.0,0,0,2341.6126,2349.2,0
3704,000016.SH,20231201.0,121321000,121321218.0,2365.9962,2362.6263,2341.6126,1387682500.0,0.0,0.0,0.0,0.0,0.0,0.0,0,self,121321000.0,0,0,2341.6126,2349.2,0
