,level_0,index,time,Unnamed: 0,symbol,date,recv_time,prev_close,open,last_prc,volume,high_limited,low_limited,ask_prc1,bid_prc1,ask_vol1,bid_vol1,fill,index_Resource,Time,t_volume,outlier,middle,acc_weight_price,stop
165,165,165,93315000,182,000016.SH,20231201.0,93315149.0,2365.9962,2362.6263,2354.5503,115498600.0,0.0,0.0,0.0,0.0,0.0,0.0,0,self,93315000.0,570700,0,2354.5503,2359.55,0
166,166,166,93318000,183,000016.SH,20231201.0,93318154.0,2365.9962,2362.6263,2354.9458,116524700.0,0.0,0.0,0.0,0.0,0.0,0.0,0,self,93318000.0,1026100,0,2354.9458,2359.51,0
167,167,167,93321000,184,000016.SH,20231201.0,93321139.0,2365.9962,2362.6263,2354.286,117353800.0,0.0,0.0,0.0,0.0,0.0,0.0,0,self,93321000.0,829100,0,2354.286,2359.48,0
168,168,168,93324000,185,000016.SH,20231201.0,93324143.0,2365.9962,2362.6263,2354.0479,118464100.0,0.0,0.0,0.0,0.0,0.0,0.0,0,self,93324000.0,1110300,0,2354.0479,2359.43,0
169,169,169,93327000,186,000016.SH,20231201.0,93327179.0,2365.9962,2362.6263,2354.0299,120147100.0,0.0,0.0,0.0,0.0,0.0,0.0,0,self,93327000.0,1683000,0,2354.0299,2359.35,0
170,170,170,93330000,187,000016.SH,20231201.0,93330177.0,2365.9962,2362.6263,2353.9388,120508200.0,0.0,0.0,0.0,0.0,0.0,0.0,0,self,93330000.0,361100,0,2353.9388,2359.33,0
171,171,171,93333000,188,000016.SH,20231201.0,93333195.0,2365.9962,2362.6263,2353.3715,121042300.0,0.0,0.0,0.0,0.0,0.0,0.0,0,self,93333000.0,534100,0,2353.3715,2359.31,0
172,172,172,93336000,190,000016.SH,20231201.0,93336188.0,2365.9962,2362.6263,2353.5464,121516000.0,0.0,0.0,0.0,0.0,0.0,0.0,0,self,93336000.0,473700,0,2353.5464,2359.29,0
173,173,173,93339000,191,000016.SH,20231201.0,93339178.0,2365.9962,2362.6263,2353.49,122178100.0,0.0,0.0,0.0,0.0,0.0,0.0,0,self,93339000.0,662100,0,2353.49,2359.25,0
174,174,174,93342000,192,000016.SH,20231201.0,93342194.0,2365.9962,2362.6263,2353.3526,122738900.0,0.0,0.0,0.0,0.0,0.0,0.0,0,self,93342000.0,560800,0,2353.3526,2359.23,0
175,175,175,93345000,193,000016.SH,20231201.0,93345096.0,2365.9962,2362.6263,2353.3098,123105600.0,0.0,0.0,0.0,0.0,0.0,0.0,0,self,93345000.0,366700,0,2353.3098,2359.21,0
176,176,176,93348000,194,000016.SH,20231201.0,93348114.0,2365.9962,2362.6263,2353.9829,123524300.0,0.0,0.0,0.0,0.0,0.0,0.0,0,self,93348000.0,418700,0,2353.9829,2359.19,0
177,177,177,93351000,195,000016.SH,20231201.0,93351122.0,2365.9962,2362.6263,2353.8774,124067700.0,0.0,0.0,0.0,0.0,0.0,0.0,0,self,93351000.0,543400,0,2353.8774,2359.17,0
178,178,178,93354000,196,000016.SH,20231201.0,93354121.0,2365.9962,2362.6263,2353.5084,124872500.0,0.0,0.0,0.0,0.0,0.0,0.0,0,self,93354000.0,804800,0,2353.5084,2359.13,0
179,179,179,93357000,197,000016.SH,20231201.0,93357109.0,2365.9962,2362.6263,2353.817,125786200.0,0.0,0.0,0.0,0.0,0.0,0.0,0,self,93357000.0,913700,0,2353.817,2359.09,0
180,180,180,93400000,198,000016.SH,20231201.0,93400121.0,2365.9962,2362.6263,2354.3802,126754800.0,0.0,0.0,0.0,0.0,0.0,0.0,0,self,93400000.0,968600,0,2354.3802,2359.06,0
181,181,181,93403000,199,000016.SH,20231201.0,93403126.0,2365.9962,2362.6263,2354.2265,127471500.0,0.0,0.0,0.0,0.0,0.0,0.0,0,self,93403000.0,716700,0,2354.2265,2359.03,0
182,182,182,93406000,201,000016.SH,20231201.0,93406110.0,2365.9962,2362.6263,2354.3214,128051800.0,0.0,0.0,0.0,0.0,0.0,0.0,0,self,93406000.0,580300,0,2354.3214,2359.01,0
183,183,183,93409000,202,000016.SH,20231201.0,93409111.0,2365.9962,2362.6263,2353.6057,128646300.0,0.0,0.0,0.0,0.0,0.0,0.0,0,self,93409000.0,594500,0,2353.6057,2358.98,0
184,184,184,93412000,203,000016.SH,20231201.0,93412124.0,2365.9962,2362.6263,2353.6548,129259900.0,0.0,0.0,0.0,0.0,0.0,0.0,0,self,93412000.0,613600,0,2353.6548,2358.96,0
185,185,185,93415000,204,000016.SH,20231201.0,93415115.0,2365.9962,2362.6263,2353.5483,130121700.0,0.0,0.0,0.0,0.0,0.0,0.0,0,self,93415000.0,861800,0,2353.5483,2358.92,0
186,186,186,93418000,205,000016.SH,20231201.0,93418132.0,2365.9962,2362.6263,2353.4081,131188400.0,0.0,0.0,0.0,0.0,0.0,0.0,0,self,93418000.0,1066700,0,2353.4081,2358.88,0
187,187,187,93421000,206,000016.SH,20231201.0,93421128.0,2365.9962,2362.6263,2353.2207,131944800.0,0.0,0.0,0.0,0.0,0.0,0.0,0,self,93421000.0,756400,0,2353.2207,2358.85,0
188,188,188,93424000,207,000016.SH,20231201.0,93424147.0,2365.9962,2362.6263,2352.8148,133030400.0,0.0,0.0,0.0,0.0,0.0,0.0,0,self,93424000.0,1085600,0,2352.8148,2358.8,0
189,189,189,93427000,208,000016.SH,20231201.0,93427144.0,2365.9962,2362.6263,2352.5851,133783700.0,0.0,0.0,0.0,0.0,0.0,0.0,0,self,93427000.0,753300,0,2352.5851,2358.76,0
190,190,190,93430000,209,000016.SH,20231201.0,93430148.0,2365.9962,2362.6263,2352.3912,134904000.0,0.0,0.0,0.0,0.0,0.0,0.0,0,self,93430000.0,1120300,0,2352.3912,2358.71,0
191,191,191,93433000,210,000016.SH,20231201.0,93433127.0,2365.9962,2362.6263,2352.4449,135774300.0,0.0,0.0,0.0,0.0,0.0,0.0,0,self,93433000.0,870300,0,2352.4449,2358.67,0
192,192,192,93436000,212,000016.SH,20231201.0,93436157.0,2365.9962,2362.6263,2352.1485,136665600.0,0.0,0.0,0.0,0.0,0.0,0.0,0,self,93436000.0,891300,0,2352.1485,2358.63,0
193,193,193,93439000,213,000016.SH,20231201.0,93439156.0,2365.9962,2362.6263,2352.302,138493300.0,0.0,0.0,0.0,0.0,0.0,0.0,0,self,93439000.0,1827700,0,2352.302,2358.54,0
